date	email	fname	lname	dept	special foods
2025-06-14 15:20:12	ihelgesson@example.org	Niklas	Johansson	Firman	
2025-06-02 00:01:29	margareta69@example.org	Tomas	Davidsson	Gummens	fisk
2025-06-07 21:34:01	karlssonmats@example.com	Gustaf	Persson	Gummens	
2025-06-21 13:16:40	tage08@example.net	Ella	Karlsson	groom	pescatarian
2025-06-27 00:49:23	bernhardlindberg@example.net	Hassan	Söderberg	bride	nut
2025-06-25 22:58:18	erikssonclaes@example.com	Ingeborg	Svensson	Firman	seafood
2025-06-19 19:39:35	snorberg@example.com	Axel	Axelsson	friendsnear_family	nut
2025-06-22 16:50:37	qeriksson@example.org	Sven	Håkansson	Firman	seafood
2025-06-14 11:32:55	hjordis69@example.com	Elisabeth	Eliasson	Firman	nut
2025-06-22 21:10:59	kjonsson@example.net	Carl	Hellman	Brudens	pescatarian
2025-06-01 14:27:24	hogbergsusanne@example.com	Bengt	Pålsson	bride	
2025-06-19 20:57:13	xjonsson@example.net	Ingrid	Larsson	Firman	
2025-06-26 03:30:57	hugo49@example.com	Krister	Jönsson	Firman	fisk
2025-06-21 07:02:11	sofieforsell@example.org	Birgitta	Borg	Firman	glutenfri
2025-05-31 07:08:21	norenellinor@example.net	Amelia	Ekman	Barndomsvän	lactosfri
2025-06-02 09:02:52	marie53@example.com	Berit	Andersson	Brudens	nöt
2025-06-11 03:43:14	bblomgren@example.com	Margareta	Hellgren	friendsnear_family	
2025-06-09 08:32:36	akessonchristina@example.com	Gunnel	Johansson	groom	glutenfri
2025-06-02 13:42:54	nordstrommarta@example.com	Maria	Andersson	groom	
2025-06-04 20:38:27	earonsson@example.net	Mikael	Melin	friendsnear_family	nöt
2025-05-30 15:57:39	stenelofsson@example.net	Roland	Axelsson	Firman	
2025-06-09 02:55:03	linneasvensson@example.net	Margareta	Eriksson	groom	
2025-05-31 00:31:53	vsundstrom@example.org	Josefina	Pettersson	friendsnear_family	nut
2025-06-07 20:57:33	knorgren@example.com	Dagmar	Johansson	Barndomsvän	seafood
2025-06-20 02:22:31	malmstromjessica@example.net	Maria	Karlsson	Barndomsvän	nöt
2025-06-13 09:30:51	martinhansen@example.net	Signe	Pettersson	Barndomsvän	seafood
2025-06-13 21:37:15	johanssonmathias@example.com	Birgitta	Johansson	Firman	
2025-06-24 21:20:16	johannessonhenrik@example.org	Pontus	Eriksson	Firman	lactosfri
2025-06-27 20:03:21	alice45@example.com	Regina	Holm	friendsnear_family	
2025-06-04 00:35:35	valentin85@example.com	Jennie	Söderlund	Gummens	
2025-06-10 23:27:00	rpettersson@example.net	Nova	Bäckman	Firman	
2025-06-16 19:52:59	johanssonfrank@example.org	Kristina	Lind	groom	glutenfri
2025-06-05 23:01:34	llarsson@example.net	Åke	Nyman	friendsnear_family	fisk
2025-06-20 14:28:35	ehagg@example.org	Lars	Persson	bride	
2025-06-11 01:56:42	malinsoderberg@example.net	Colin	Bengtsson	Brudens	
2025-05-30 21:15:22	majken13@example.com	Allan	Olsson	Firman	
2025-06-22 02:09:01	soderstrommargareta@example.org	Kristian	Karlsson	groom	
2025-06-15 05:10:42	karlssonalf@example.org	Tova	Alm	Brudens	pescatarian
2025-06-13 16:09:50	berglundmatilda@example.net	Matilda	Johansson	Brudens	
2025-06-17 21:52:42	fredrik42@example.com	Charles	Gustafsson	Gummens	
2025-06-22 05:07:37	fermwilma@example.com	Bertil	Eklund	Gummens	nöt
2025-06-28 18:30:49	birgittamoller@example.org	Nils	Eriksson	Gummens	seafood
2025-06-13 09:20:53	larsnaslund@example.net	Yvonne	Dahlqvist	Brudens	
2025-06-05 22:17:32	qandersson@example.com	Elisabet	Dahlberg	Firman	
2025-06-23 06:36:57	carolinefredriksson@example.com	David	Bengtsson	Gummens	glutenfri
2025-06-28 02:21:00	inez01@example.net	Kristina	Mohammadi	Gummens	nut
2025-06-17 05:56:08	pjohansson@example.com	Margareta	Nordin	Firman	
2025-05-30 22:55:06	abrahamssonzahra@example.com	André	Ekström	Gummens	
2025-06-12 08:16:22	opetersen@example.org	Mikael	Rosén	Barndomsvän	fisk
2025-05-31 01:38:01	gert82@example.com	Elisabet	Larsson	Barndomsvän	pescatarian
2025-06-04 18:46:49	marie85@example.com	Hanna	Svensson	friendsnear_family	seafood
2025-06-19 08:08:55	rydberglinnea@example.net	Julia	Alm	Brudens	glutenfri
2025-06-11 04:52:03	berglundchristina@example.net	Anders	Jonsson	Gummens	nöt
2025-05-31 21:47:06	petterssonmilan@example.net	Mia	Söderberg	Brudens	nöt
2025-06-05 02:09:04	lukas28@example.org	Abdul	Johnsson	groom	glutenfri
2025-06-07 00:19:12	sven78@example.org	Mikael	Berntsson	friendsnear_family	lactosfri
2025-06-06 07:58:46	madeleine84@example.org	Gustav	Gustafsson	groom	fisk
2025-06-03 00:34:52	lindadahlberg@example.com	Anders	Hassan	bride	
2025-06-26 02:57:57	abdullahannika@example.com	Arvid	Karlsson	Barndomsvän	glutenfri
2025-06-11 20:02:13	anna14@example.org	Gustaf	Abrahamsson	Firman	seafood
2025-06-06 02:43:32	carolingustafsson@example.net	Maria	Nilsson	groom	seafood
2025-06-03 11:48:13	sophiemagnusson@example.com	Ester	Emanuelsson	Firman	fisk
